employee_id,institution_id,institution_size,project_id,team_id,manager_id,job_role_id,duration_weeks,relative_effort,team_size,project_complexity,performance_score,predicted_performance_score,performance_class,predicted_performance_class,avg_overall_behavior_rating,overall_behavior_pattern,communication_pattern,collaboration_pattern,leadership_pattern,learning_pattern,productivity_pattern,manager_rating,peer_rating,subordinate_rating,overall_rating_avg,rating_variance,bias_flag,bias_type,fairness_score,text_bias_score,group_bias_score,manager_peer_gap,manager_subordinate_gap,peer_subordinate_gap,performance_rating_gap,behavior_performance_gap,conflict_score,conflict_flag,conflict_type,manager_dominance_score,peer_convergence_score,subordinate_suppression_score,social_protection_score,power_distance_risk_score,power_distance_risk,opinion_dynamics_pattern,culture_pattern,arbitration_decision,final_recommended_score,final_recommended_class,decision_explanation
E001,I01,large,P001,T01,,PM,20,450,9,2.5,73.55,73.09,Medium,Medium,3.466666667,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.6,3.2,3.6,3.47,0.05,0,No Major Bias Detected,85.2,0.32,0.03,-0.4,0,-0.4,4.15,4.22,7.09,0,No Major Conflict,40.13,48,15.97,0,28.84,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,74.2,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 28.84. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E002,I01,large,P001,T01,E001,SE,20,450,9,2.5,66.13,66.5,Medium,Medium,3.6,Balanced Contributor,Clear and Responsive Communicator,Moderate Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.4,4,3.4,3.6,0.12,0,No Major Bias Detected,85.25,0.19,0.05,0.6,0,0.6,-5.87,-5.87,11.34,0,No Major Conflict,35.2,47,12.16,13.03,26.69,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,72.3,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 26.69. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E003,I01,large,P001,T01,E001,SE,20,450,9,2.5,73.78,71.98,Medium,Medium,3.6,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,4,3.4,3.4,3.6,0.12,0,No Major Bias Detected,76.85,0.31,0.05,-0.6,-0.6,0,1.78,1.78,15.29,0,No Major Conflict,36.93,56,15.1,0,28.46,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,73.68,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 28.46. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E004,I01,large,P001,T01,E001,SE,20,450,9,2.5,56.78,58.33,Medium,Medium,3.2,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,2.8,3,3.8,3.2,0.28,1,Possible Textual Subjectivity Bias,68.1,0.46,0.06,0.2,1,-0.8,-7.22,-7.22,31.21,1,Manager-Subordinate Conflict; Bias-Linked Conflict,38.63,48,27.74,3.57,32.72,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,61.93,Medium,Conflict type: Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 32.72. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E005,I01,large,P001,T01,E001,SE,20,450,9,2.5,66.8,66.18,Medium,Medium,3.066666667,Communication Development Required,Communication Improvement Needed,Strong Team Collaboration Pattern,Emerging Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,2.6,3.4,3.2,3.07,0.17,0,No Major Bias Detected,73.75,0.31,0.06,0.8,0.6,0.2,5.4,5.47,20.11,0,Manager-Peer Conflict,38.04,55,16.4,7.86,29.99,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,66.01,Medium,Conflict type: Manager-Peer Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 29.99. Bias status: No Major Bias Detected. Final recommendation: Accept with Monitoring.
E006,I01,large,P001,T01,E001,QA,20,450,9,2.5,68.68,67.92,Medium,Medium,4.266666667,Collaborative Leader,Moderate Communication Pattern,Strong Team Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.6,4.6,4.6,4.27,0.33,1,Possible Manager Underrating Bias,66.1,0.28,0.05,1,1,0,-16.72,-16.65,44.95,1,Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict,32,60,39.86,21.83,37.93,Moderate,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Adjust Manager Weight,77.84,High,Conflict type: Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Moderate with score 37.93. Bias status: Possible Manager Underrating Bias. Final recommendation: Adjust Manager Weight.
E007,I01,large,P001,T01,E001,QA,20,450,9,2.5,70.78,69.68,Medium,Medium,3,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3,3.2,2.8,3,0.04,1,Possible Textual Subjectivity Bias,72.1,0.74,0.06,0.2,-0.2,0.4,10.78,10.78,20.19,0,Bias-Linked Conflict,43.67,46,14.05,1.8,29.47,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,66.73,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 29.47. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E008,I01,large,P001,T01,E001,DevOps,20,450,9,2.5,63.08,63.03,Medium,Medium,3.4,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Emerging Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3.2,4.2,2.8,3.4,0.52,1,High Multi-Source Rating Disagreement,66.75,0.26,0.05,1,-0.4,1.4,-4.92,-4.92,36.86,1,Manager-Peer Conflict; Bias-Linked Conflict,32,39,12.49,20.51,25.07,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,65.78,Medium,Conflict type: Manager-Peer Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 25.07. Bias status: High Multi-Source Rating Disagreement. Final recommendation: Accept with Monitoring.
E009,I01,large,P002,T02,,PM,12,220,6,3,62.98,63.09,Medium,Medium,3.6,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.2,3.6,4,3.6,0.16,1,Possible Textual Subjectivity Bias,74.55,0.37,0.03,0.4,0.8,-0.4,-9.02,-9.02,29.71,1,Manager-Subordinate Conflict; Bias-Linked Conflict,36.8,52,26.41,8.56,32.62,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,68.9,Medium,Conflict type: Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 32.62. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E010,I01,large,P002,T02,E009,SE,12,220,6,3,71.33,70.06,Medium,Medium,3.333333333,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.2,3.4,3.4,3.33,0.01,0,No Major Bias Detected,91.1,0.14,0.05,0.2,0.2,0,4.73,4.66,6.55,0,No Major Conflict,41.6,52,11.54,1.8,28.66,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,73.41,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 28.66. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
